,0
2024-01-01,6.258860230445862e-05
2024-01-02,6.316602230072021e-05
2024-01-03,6.366893649101257e-05
2024-01-04,6.397813558578491e-05
2024-01-05,6.413459777832031e-05
2024-01-08,6.420910358428955e-05
2024-01-09,6.42240047454834e-05
2024-01-10,6.42240047454834e-05
2024-01-11,6.421282887458801e-05
2024-01-12,6.420537829399109e-05
2024-01-15,6.419792771339417e-05
2024-01-16,6.41942024230957e-05
2024-01-17,6.418675184249878e-05
2024-01-18,6.418675184249878e-05
2024-01-19,6.418675184249878e-05
2024-01-22,6.419047713279724e-05
2024-01-23,6.418302655220032e-05
2024-01-24,6.419047713279724e-05
2024-01-25,6.418675184249878e-05
2024-01-26,6.418675184249878e-05
2024-01-29,6.419047713279724e-05
2024-01-30,6.418675184249878e-05
2024-01-31,6.419047713279724e-05
2024-02-01,6.419047713279724e-05
2024-02-02,6.418302655220032e-05
2024-02-05,6.419047713279724e-05
2024-02-06,6.419047713279724e-05
2024-02-07,6.419047713279724e-05
2024-02-08,6.418302655220032e-05
2024-02-09,6.418675184249878e-05
2024-02-12,6.418302655220032e-05
2024-02-13,6.419047713279724e-05
2024-02-14,6.419047713279724e-05
2024-02-15,6.419047713279724e-05
2024-02-16,6.418675184249878e-05
2024-02-19,6.418675184249878e-05
2024-02-20,6.419047713279724e-05
2024-02-21,6.419047713279724e-05
2024-02-22,6.418675184249878e-05
2024-02-23,6.419047713279724e-05
2024-02-26,6.418675184249878e-05
2024-02-27,6.418675184249878e-05
2024-02-28,6.419047713279724e-05
2024-02-29,6.418675184249878e-05
2024-03-01,6.418302655220032e-05
2024-03-04,6.419047713279724e-05
2024-03-05,6.419047713279724e-05
2024-03-06,6.418675184249878e-05
2024-03-07,6.418302655220032e-05
2024-03-08,6.418675184249878e-05
2024-03-11,6.419047713279724e-05
2024-03-12,6.418675184249878e-05
2024-03-13,6.418675184249878e-05
2024-03-14,6.418675184249878e-05
2024-03-15,6.419047713279724e-05
2024-03-18,6.419047713279724e-05
2024-03-19,6.419047713279724e-05
2024-03-20,6.419047713279724e-05
2024-03-21,6.418675184249878e-05
2024-03-22,6.418302655220032e-05
2024-03-25,6.419047713279724e-05
2024-03-26,6.418675184249878e-05
2024-03-27,6.419047713279724e-05
2024-03-28,6.418302655220032e-05
2024-03-29,6.418675184249878e-05
2024-04-01,6.419047713279724e-05
2024-04-02,6.418302655220032e-05
2024-04-03,6.419047713279724e-05
2024-04-04,6.418675184249878e-05
2024-04-05,6.418675184249878e-05
2024-04-08,6.419047713279724e-05
2024-04-09,6.419047713279724e-05
2024-04-10,6.418675184249878e-05
2024-04-11,6.418675184249878e-05
2024-04-12,6.419047713279724e-05
2024-04-15,6.419047713279724e-05
2024-04-16,6.418675184249878e-05
2024-04-17,6.419047713279724e-05
2024-04-18,6.419047713279724e-05
2024-04-19,6.419047713279724e-05
2024-04-22,6.418675184249878e-05
2024-04-23,6.418675184249878e-05
2024-04-24,6.418675184249878e-05
2024-04-25,6.418675184249878e-05
2024-04-26,6.418302655220032e-05
2024-04-29,6.419047713279724e-05
2024-04-30,6.418675184249878e-05
2024-05-01,6.418675184249878e-05
2024-05-02,6.419047713279724e-05
2024-05-03,6.419047713279724e-05
2024-05-06,6.418675184249878e-05
2024-05-07,6.418675184249878e-05
2024-05-08,6.418675184249878e-05
2024-05-09,6.419047713279724e-05
2024-05-10,6.419047713279724e-05
2024-05-13,6.419047713279724e-05
2024-05-14,6.418675184249878e-05
2024-05-15,6.418675184249878e-05
2024-05-16,6.418675184249878e-05
2024-05-17,6.418675184249878e-05
2024-05-20,6.418675184249878e-05
2024-05-21,6.419047713279724e-05
2024-05-22,6.419047713279724e-05
2024-05-23,6.419047713279724e-05
2024-05-24,6.418675184249878e-05
2024-05-27,6.418302655220032e-05
2024-05-28,6.419047713279724e-05
2024-05-29,6.419047713279724e-05
2024-05-30,6.419047713279724e-05
2024-05-31,6.419047713279724e-05
2024-06-03,6.419047713279724e-05
2024-06-04,6.419047713279724e-05
2024-06-05,6.419047713279724e-05
2024-06-06,6.418675184249878e-05
2024-06-07,6.419047713279724e-05
2024-06-10,6.418675184249878e-05
2024-06-11,6.419047713279724e-05
2024-06-12,6.419047713279724e-05
2024-06-13,6.418675184249878e-05
2024-06-14,6.418675184249878e-05
2024-06-17,6.418302655220032e-05
2024-06-18,6.418302655220032e-05
2024-06-19,6.419047713279724e-05
2024-06-20,6.419047713279724e-05
2024-06-21,6.418675184249878e-05
2024-06-24,6.419047713279724e-05
2024-06-25,6.418675184249878e-05
2024-06-26,6.418302655220032e-05
2024-06-27,6.419047713279724e-05
2024-06-28,6.418675184249878e-05
2024-07-01,6.418302655220032e-05
2024-07-02,6.418675184249878e-05
2024-07-03,6.418675184249878e-05
2024-07-04,6.418675184249878e-05
2024-07-05,6.419047713279724e-05
2024-07-08,6.419047713279724e-05
2024-07-09,6.418675184249878e-05
2024-07-10,6.418675184249878e-05
2024-07-11,6.418675184249878e-05
2024-07-12,6.418675184249878e-05
2024-07-15,6.418675184249878e-05
2024-07-16,6.419047713279724e-05
2024-07-17,6.418675184249878e-05
2024-07-18,6.419047713279724e-05
2024-07-19,6.419047713279724e-05
2024-07-22,6.419047713279724e-05
